HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
Unilever,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Unilever,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Unilever,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Food,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Nike,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Middleware,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Middleware,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Middleware,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Climate,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Climate,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Fabercastell,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Hersheys,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Mondelez,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Loja Perfeita,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Omron,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Josapar,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Coty - Loja do Varejo,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
AbasteceBem,undefined,undefined,Hub com erro,21/01/2022 13:05:07,undefined
AbasteceBem,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
AbasteceBem,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
AbasteceBem,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
AbasteceBem,undefined,undefined,Normalizada,21/01/2022 13:05:07,undefined
Unilever,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Unilever,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Food,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Nike,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Middleware,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Middleware,undefined,undefined,Atrasada,21/01/2022 13:05:47,undefined
Climate,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Climate,undefined,undefined,Atrasada,21/01/2022 13:05:47,undefined
Fabercastell,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Hersheys,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Mondelez,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Loja Perfeita,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Omron,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Cuidado todos os dias,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Cuidado todos os dias,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Josapar,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
AbasteceBem,undefined,undefined,Hub ativo,21/01/2022 13:05:47,undefined
AbasteceBem,undefined,undefined,Parada,21/01/2022 13:05:47,undefined
Middleware,undefined,undefined,Atrasada,21/01/2022 13:12:47,undefined
Middleware,undefined,undefined,Normalizada,21/01/2022 13:16:47,undefined
Middleware,undefined,undefined,Atrasada,21/01/2022 13:27:47,undefined
Middleware,undefined,undefined,Normalizada,21/01/2022 13:28:48,undefined
Middleware,undefined,undefined,Normalizada,21/01/2022 13:36:47,undefined
Middleware,324,undefined,Atrasada,21/01/2022 13:39:48,undefined
Middleware,324,Estoque para loja,Normalizada,21/01/2022 13:41:47,21/01/2022 13:28:39
Middleware,186,Integração Notificação Cliente,Atrasada,21/01/2022 13:46:47,21/01/2022 13:36:14
