HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
Middleware,undefined,undefined,Atrasada,17/01/2022 23:58:47,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 00:03:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 00:05:48,undefined
Unilever,undefined,undefined,Normalizada,18/01/2022 00:11:47,undefined
Vila Nova,undefined,undefined,Normalizada,18/01/2022 00:12:47,undefined
Middleware,undefined,undefined,Atrasada,18/01/2022 00:15:47,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 00:15:47,undefined
Middleware,undefined,undefined,Normalizada,18/01/2022 00:20:47,undefined
Vila Nova,undefined,undefined,Atrasada,18/01/2022 00:23:46,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 00:25:49,undefined
Fabercastell,undefined,undefined,Atrasada,18/01/2022 00:33:47,undefined
Food,undefined,undefined,Parada,18/01/2022 00:34:47,undefined
Fabercastell,undefined,undefined,Normalizada,18/01/2022 00:34:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 00:44:47,undefined
Fabercastell,undefined,undefined,Atrasada,18/01/2022 00:45:48,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 00:45:48,undefined
Fabercastell,undefined,undefined,Normalizada,18/01/2022 00:47:48,undefined
Unilever,undefined,undefined,Parada,18/01/2022 00:51:47,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 00:52:47,undefined
Unilever,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Unilever,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Food,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Food,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Nike,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Middleware,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Climate,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Climate,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Fabercastell,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Hersheys,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Mondelez,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Vila Nova,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Vila Nova,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Loja Perfeita,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Omron,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Cuidado todos os dias,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Cuidado todos os dias,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Josapar,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Josapar,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Coty - Loja do Varejo,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
AbasteceBem,undefined,undefined,Hub com erro,18/01/2022 01:11:06,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 01:11:06,undefined
Unilever,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Unilever,undefined,undefined,Parada,18/01/2022 01:11:48,undefined
Food,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Food,undefined,undefined,Parada,18/01/2022 01:11:48,undefined
Nike,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Middleware,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Climate,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Climate,undefined,undefined,Atrasada,18/01/2022 01:11:48,undefined
Fabercastell,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Hersheys,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Mondelez,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Vila Nova,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Vila Nova,undefined,undefined,Parada,18/01/2022 01:11:48,undefined
Loja Perfeita,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
Omron,undefined,undefined,Hub ativo,18/01/2022 01:11:48,undefined
