hub,taskNumber,taskName,Status,data,lastRun
Unilever,519,Sumarizao de Produtos,Normalizada,Mon Dec 27 2021 01:32:06 GMT-0300 (GMT-03:00),26/12/2021 12:23:52
Vila Nova,205,Alimentar Pedido Hora,Normalizada,Mon Dec 27 2021 01:32:06 GMT-0300 (GMT-03:00),25/12/2021 15:53:25
Vila Nova,207,Alimentar PedidosBI Dia,Normalizada,Mon Dec 27 2021 01:32:06 GMT-0300 (GMT-03:00),25/12/2021 15:53:27
AbasteceBem,205,Alimentar Pedido Hora,Parada,Mon Dec 27 2021 01:32:06 GMT-0300 (GMT-03:00),25/12/2021 19:55:33
AbasteceBem,207,Alimentar PedidosBI Dia,Parada,Mon Dec 27 2021 01:32:06 GMT-0300 (GMT-03:00),25/12/2021 19:55:35
Vila Nova,206,Alimentar PedidosBI Hora,Atrasada,Mon Dec 27 2021 01:46:06 GMT-0300 (GMT-03:00),27/12/2021 00:35:46
Unilever,519,Sumarizao de Produtos,Atrasada,Mon Dec 27 2021 01:57:06 GMT-0300 (GMT-03:00),27/12/2021 01:16:19
Food,192,Integração de Tracking,Parada,Mon Dec 27 2021 02:39:06 GMT-0300 (GMT-03:00),27/12/2021 02:27:49
Food,198,Integração de Política de Preço,Atrasada,Mon Dec 27 2021 08:57:06 GMT-0300 (GMT-03:00),27/12/2021 08:29:35
Food,192,Integração de Tracking,Normalizada,Mon Dec 27 2021 08:57:06 GMT-0300 (GMT-03:00),27/12/2021 02:27:49
Vila Nova,206,Alimentar PedidosBI Hora,Normalizada,Mon Dec 27 2021 08:57:06 GMT-0300 (GMT-03:00),27/12/2021 00:35:46
Food,198,Integração de Política de Preço,Normalizada,Mon Dec 27 2021 08:59:06 GMT-0300 (GMT-03:00),27/12/2021 08:29:35
Unilever,519,Sumarizao de Produtos,Normalizada,Mon Dec 27 2021 09:01:23 GMT-0300 (GMT-03:00),27/12/2021 08:07:14
Vila Nova,220,Enfileirar e Reenfileirar EMail de Filial Pendente,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),27/12/2021 06:38:26
Josapar,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 18:12:18
Josapar,205,Alimentar Pedido Hora,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 08:51:29
Josapar,206,Alimentar PedidosBI Hora,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 19:56:06
Josapar,207,Alimentar PedidosBI Dia,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 08:51:34
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 19:55:56
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 08:51:01
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 19:55:58
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),25/12/2021 08:51:08
Coty - Loja do Varejo,198,Integração de Política de Preço,Normalizada,Mon Dec 27 2021 09:18:06 GMT-0300 (GMT-03:00),27/12/2021 08:09:57
