hub,taskNumber,taskName,Status,data
Unilever,519,Sumarizao de Produtos,Parada,Thu Dec 23 2021 01:06:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Normalizada,Thu Dec 23 2021 01:06:06 GMT-0300 (GMT-03:00)
Food,184,Integração Preço,Normalizada,Thu Dec 23 2021 01:06:06 GMT-0300 (GMT-03:00)
Mondelez,194,Integrações B2B,Normalizada,Thu Dec 23 2021 01:06:06 GMT-0300 (GMT-03:00)
AbasteceBem,206,Alimentar PedidosBI Hora,Parada,Thu Dec 23 2021 01:06:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Atrasada,Thu Dec 23 2021 01:08:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Normalizada,Thu Dec 23 2021 01:11:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Atrasada,Thu Dec 23 2021 01:16:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Normalizada,Thu Dec 23 2021 01:19:06 GMT-0300 (GMT-03:00)
Middleware,324,Estoque para loja,Normalizada,Thu Dec 23 2021 08:59:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Atrasada,Thu Dec 23 2021 10:02:07 GMT-0300 (GMT-03:00)
Unilever,519,Sumarizao de Produtos,Normalizada,Thu Dec 23 2021 10:02:07 GMT-0300 (GMT-03:00)
AbasteceBem,206,Alimentar PedidosBI Hora,Parada,Thu Dec 23 2021 10:02:07 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Normalizada,Thu Dec 23 2021 10:03:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,205,Alimentar Pedido Hora,Normalizada,Thu Dec 23 2021 10:03:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,206,Alimentar PedidosBI Hora,Normalizada,Thu Dec 23 2021 10:03:06 GMT-0300 (GMT-03:00)
Middleware,186,Integração Notificação Cliente,Atrasada,Thu Dec 23 2021 10:04:06 GMT-0300 (GMT-03:00)
Middleware,324,Estoque para loja,Normalizada,Thu Dec 23 2021 10:04:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,207,Alimentar PedidosBI Dia,Normalizada,Thu Dec 23 2021 10:04:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,208,Envio automático de relatórios,Normalizada,Thu Dec 23 2021 10:04:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,198,Integração de Política de Preço,Normalizada,Thu Dec 23 2021 10:04:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Normalizada,Thu Dec 23 2021 10:05:06 GMT-0300 (GMT-03:00)
Middleware,186,Integração Notificação Cliente,Normalizada,Thu Dec 23 2021 10:05:06 GMT-0300 (GMT-03:00)
Middleware,320,Notificação Limite de Crédito,Atrasada,Thu Dec 23 2021 10:06:06 GMT-0300 (GMT-03:00)
Middleware,324,Estoque para loja,Atrasada,Thu Dec 23 2021 10:09:06 GMT-0300 (GMT-03:00)
Middleware,320,Notificação Limite de Crédito,Normalizada,Thu Dec 23 2021 10:09:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,198,Integração de Política de Preço,Atrasada,Thu Dec 23 2021 10:09:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Atrasada,Thu Dec 23 2021 10:10:06 GMT-0300 (GMT-03:00)
Middleware,186,Integração Notificação Cliente,Atrasada,Thu Dec 23 2021 10:10:06 GMT-0300 (GMT-03:00)
Coty - Loja do Varejo,204,Enviar carrinhos abandonados para o parceiro MarketingTech,Parada,Thu Dec 23 2021 10:11:06 GMT-0300 (GMT-03:00)
Unilever,402,Atualizar Cliente TradeMaster,Normalizada,Thu Dec 23 2021 10:12:06 GMT-0300 (GMT-03:00)
Middleware,324,Estoque para loja,Normalizada,Thu Dec 23 2021 10:15:06 GMT-0300 (GMT-03:00)
